"prompt_id","record_id","domain","publication_status","manifest_completeness","record_prompt_availability","primary_style_observed","in_loop_feedback","post_run_validation","candidate_transfer","principal_caveat","evidence_path"
"einsteinarena-distributed-discovery","einsteinarena-distributed-discovery","mathematics","private-rights-review","representative","representative","Verifier-first participation; study prior solutions and discussion; local scoring; attributed collaboration","Live executable verifier and public submissions","Platform-level status summarized in the record","Shared failure memory and verifier-backed distributed search","Protocol is platform-wide rather than result-specific; verifier and leaderboard are mutable infrastructure","prompts/sources/einsteinarena-distributed-discovery/skill.md; records/einsteinarena-distributed-discovery.md"
"erdos-848","erdos-848","mathematics","private-rights-review","partial","partial","Human-led iterative correction; demand for explicit proof; numerical checks; manuscript restructuring","Human mathematician corrections and Python calculations","Later manuscript/preprint development reported in the record","High-value human error correction and claim-by-claim refinement","Initial problem and later proof attachment bodies are missing; model contribution cannot be isolated","prompts/sources/erdos-848/user-prompts.md; records/erdos-848.md"
"funsearch-cap-sets","funsearch-cap-sets","mathematics","approved","representative","partial","Executable scaffold; evolved priority function; elite exemplars; behavioral clusters; islands and resets","Deterministic evaluator and cap-set checker","Construction and archive-relative improvement documented in the notebook and record","Artifact fitness, behavioral diversity, and executable incumbents","No single stable prose prompt; evaluator fidelity and current novelty are separate issues","prompts/sources/funsearch-cap-sets/; records/funsearch-cap-sets.md"
"futurehouse-robin-amd","futurehouse-robin-amd","biology","approved","full","full","Disease-to-assay-to-candidate funnel; literature-backed pairwise ranking; experimental feedback","Literature search; pairwise model judge; assay results returned to the workflow","Program outcome and remaining in-vitro limitation reported in the record","Evidence funnel and pairwise route selection","Literature synthesis and model ranking are not independent confirmation; final evidence remains in vitro","prompts/sources/futurehouse-robin-amd/prompts.py; records/futurehouse-robin-amd.md"
"gpt4-breast-cancer-drug-pairs","gpt4-breast-cancer-drug-pairs","biology","approved","exact","full","Mechanistic synergy constraints; positive and negative controls; quantitative feedback between rounds","Wet-lab cell-line results returned between prompt rounds","Aggregate study outcome reported in the record","Controls before novelty and numeric feedback preservation","Some rationales were wrong and most initial pairs missed; cell-line synergy is not therapeutic efficacy","prompts/sources/gpt4-breast-cancer-drug-pairs/prompts.md; records/gpt4-breast-cancer-drug-pairs.md"
"lossfunk-four-research-attempts","lossfunk-four-research-attempts","computer science","private-rights-review","full","full","Hypothesis cards; baselines, metrics, thresholds, budgets, dependencies, artifact paths; evidence readiness gates","Code/tests; experiment outputs; mentor and reviewer gates","Accepted-paper and other attempt outcomes summarized in the record","Operational research cards, traceability, and falsifiable readiness criteria","Workflow requires substantial datasets/compute; one accepted paper does not validate the general method","prompts/sources/lossfunk-four-research-attempts/; records/lossfunk-four-research-attempts.md"
"nesterov-point-convergence","nesterov-point-convergence","mathematics","approved","unavailable","unavailable","NA: complete prompt sequence was not located","NA from available prompt content","Human mathematician correction described in the record","Preserve human selection and repair as attribution context only","Do not infer prompt features from a first-person summary","prompts/nesterov-point-convergence.md; records/nesterov-point-convergence.md"
"openai-first-proof","openai-first-proof","mathematics","private-rights-review","representative","representative","Generate five ideas; parallel solve; binary gap audit; refine; typeset","Same-system verifier","Problem-author assessment and later reassessment reported in the record","Compact generate-solve-audit-repair pipeline","The preserved setup is a post-deadline programmatic recreation expected to yield roughly equivalent quality, not the original raw transcript","prompts/openai-first-proof.md; records/openai-first-proof.md"
"sciexplorer-physics-models","sciexplorer-physics-models","physics","approved","representative","full","Competing hypothesis portfolio; varied and extreme experiments; survivor ledger; forward simulation before submission","Controlled simulator and quantitative comparison","Benchmark/case outcome summarized in the record","Active falsification and hypothesis-survival updates","Final replay uses the same explored conditions rather than a true holdout","prompts/sources/sciexplorer-physics-models/prompt-inputs.md; records/sciexplorer-physics-models.md"
"street-differential-equation-counterexample","street-differential-equation-counterexample","mathematics","private-rights-review","exact","full","Compact proof-or-disproof request; explicit smooth-versus-analytic distinction; novelty encouragement","No explicit in-loop validator in the preserved prompt","Human mathematical review and resulting preprint reported in the record","Truth-neutral compact problem statement","Prompt contains little orchestration or verification detail; outcome depended on later human development","prompts/street-differential-equation-counterexample.md; records/street-differential-equation-counterexample.md"
"unit-distance-conjecture","unit-distance-conjecture","mathematics","private-rights-review","exact","full","Exact definitions; symmetric affirmative/negative success criteria; explicit partial-result exclusions","No explicit in-loop validator in the preserved prompt","Human expert review described in the record","Truth-neutral theorem contract and non-solution boundary","Hidden system prompt, model identity, attempts, and compute are unavailable","prompts/unit-distance-conjecture.md; records/unit-distance-conjecture.md"
"virtual-lab-nanobodies","virtual-lab-nanobodies","biology","approved","full","full","Specialist roles; explicit dissent; agenda and decision owner; durable summaries; critic then targeted revision; provenance-preserving merge","Same-model critic and computational-model output","Later wet-lab results reported in the record","Structured dissent, decision ownership, minimal repair, and provenance-preserving synthesis","Personas sharing a model are not independent evidence","prompts/sources/virtual-lab-nanobodies/prompts.py; prompts/sources/virtual-lab-nanobodies/nanobody_constants.py; records/virtual-lab-nanobodies.md"
"zeroth-order-convex-lower-bound","zeroth-order-convex-lower-bound","mathematics","private-rights-review","exact","full","Exact oracle model; separate upper/lower portfolios; exhaustive model-alignment audits; false-lemma and exponent ledgers","Same-model adversarial agents and recomputation audits","Human review and later author-reviewed Lean formalization reported in the record","Model-compliance cards and independent recomputation audits","Closely related orchestration also failed on Bartnik; prompt efficacy is heavily confounded","prompts/sources/zeroth-order-convex-lower-bound/initial-prompt.txt; records/zeroth-order-convex-lower-bound.md"
